Province_State,Country_Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
Prince Edward Island,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Quebec,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Saskatchewan,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Yukon,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
,Central African Republic,100.0,7.29734501910174,642893,47.190622189673796,663.8265299723159,64.7,26.2,23.7,25.086999751318196,78,59,391.0,42.08366354,29.98105893,72.3519973754883,81598,395.42900000000003,426.72,14.008,51.41,45.32778,39.96351,52.6217637095533,3.65988429642991,4546100,40.277,120500.0
,Chad,100.0,11.1256456480305,41812,66.5641643497065,2207.63074846573,63.7,26.7,24.1,9.548387843000011,77,54,152.0,99.64996053,56.44644876,71.2740020751953,516968,341.536,384.798,13.217,52.575,48.75391,43.79587,49.9576606100484,2.46263708550815,14009413,22.515,120000.0
,Chile,98.5762989258251,23.8895975606296,15006762,58.9528438182819,22959.5543381377,7.5,85.0,12.5,99.8882096998596,62,87,17.0,1891.21277201,34.50925787,62.2649993896484,469436,67.179,110.554,6.066,79.315,88.70764,82.78588,68.7424662977396,10.4192435815292,17762681,87.36,4478000.0
Anhui,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Beijing,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Chongqing,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
